                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.7561,                 1.8225,                 1.5708,                0.47165,                0.40419,                0.40065,                0.17073,                 2.5583,                 1.6305,                 1.5812,             0.00097629,             0.00097629,             0.00097629
                     35,                 2.7647,                 1.7856,                 1.5094,                0.43775,                0.32312,                0.32376,                0.11595,                 2.8031,                 1.9312,                 1.5931,             0.00096215,             0.00096215,             0.00096215
                     36,                 2.8347,                 1.8327,                 1.4978,                0.80692,                0.29348,                0.33222,                 0.1314,                 2.7789,                 2.1366,                 1.5949,               0.000948,               0.000948,               0.000948
                     37,                 2.7764,                 1.7841,                 1.5066,                0.46211,                0.41867,                0.40185,                0.16856,                 2.5101,                 1.6054,                 1.5187,             0.00093385,             0.00093385,             0.00093385
                     38,                 2.6929,                 1.7728,                 1.5462,                0.46969,                0.41525,                0.39429,                0.17007,                 2.5162,                 1.6319,                 1.5122,              0.0009197,              0.0009197,              0.0009197
                     39,                 2.6616,                 1.6936,                 1.4864,                0.46245,                0.39738,                0.38793,                0.15962,                  2.528,                 1.5735,                  1.527,             0.00090556,             0.00090556,             0.00090556
                     40,                 2.6385,                 1.6667,                 1.4489,                 0.4629,                0.40084,                0.38053,                0.14602,                 2.5967,                   1.61,                 1.5263,             0.00089141,             0.00089141,             0.00089141
                     41,                 2.7074,                 1.7316,                 1.4787,                0.43225,                0.38857,                0.36638,                0.12898,                 2.7797,                 1.7812,                 1.5515,             0.00087726,             0.00087726,             0.00087726
                     42,                 2.6128,                  1.693,                 1.4731,                0.47352,                0.41073,                0.40171,                0.17085,                 2.5668,                 1.6676,                 1.5191,             0.00086312,             0.00086312,             0.00086312
                     43,                  2.597,                 1.6755,                 1.4377,                0.47988,                0.41673,                0.41078,                0.17403,                 2.4462,                 1.5977,                 1.5022,             0.00084897,             0.00084897,             0.00084897
                     44,                 2.6348,                  1.702,                 1.4528,                0.47031,                0.38317,                0.37821,                0.14211,                 2.6406,                 1.7344,                 1.5372,             0.00083482,             0.00083482,             0.00083482
                     45,                 2.5759,                  1.664,                  1.467,                0.48601,                0.43032,                 0.4072,                 0.1723,                 2.4973,                 1.5747,                 1.4903,             0.00082067,             0.00082067,             0.00082067
                     46,                  2.656,                 1.7271,                 1.5034,                0.45999,                0.44935,                0.41329,                0.16896,                 2.4758,                  1.545,                 1.4804,             0.00080653,             0.00080653,             0.00080653
                     47,                 2.5831,                 1.6724,                 1.4592,                0.46885,                0.41921,                0.41471,                0.18937,                 2.3691,                 1.5006,                 1.4727,             0.00079238,             0.00079238,             0.00079238
                     48,                 2.5583,                 1.6678,                 1.4659,                0.46535,                0.41053,                0.40838,                0.18049,                 2.4168,                 1.5084,                 1.4727,             0.00077823,             0.00077823,             0.00077823
                     49,                 2.5311,                 1.6195,                 1.4419,                0.48865,                0.43754,                0.41274,                0.17855,                 2.4411,                 1.5507,                 1.4861,             0.00076409,             0.00076409,             0.00076409
                     50,                 2.4973,                 1.6342,                 1.4426,                0.49264,                0.44266,                0.41764,                0.18332,                 2.3986,                  1.503,                 1.4672,             0.00074994,             0.00074994,             0.00074994
                     51,                 2.5394,                 1.6662,                 1.4567,                0.48923,                0.42521,                0.40439,                0.17318,                 2.4527,                 1.6252,                 1.4576,             0.00073579,             0.00073579,             0.00073579
                     52,                 2.5075,                   1.63,                 1.4597,                0.49073,                0.44218,                0.42127,                0.19086,                 2.3412,                 1.4743,                 1.4484,             0.00072164,             0.00072164,             0.00072164
                     53,                 2.5101,                 1.6503,                 1.4454,                0.49333,                0.42218,                0.42074,                0.19154,                 2.3878,                 1.5576,                 1.4578,              0.0007075,              0.0007075,              0.0007075
                     54,                 2.5149,                 1.6347,                 1.4442,                0.49401,                0.40593,                0.41427,                0.17905,                 2.4763,                 1.7468,                 1.4695,             0.00069335,             0.00069335,             0.00069335
                     55,                 2.4423,                  1.558,                  1.417,                0.50058,                0.41907,                0.40655,                 0.1762,                 2.4406,                 1.5805,                 1.4743,              0.0006792,              0.0006792,              0.0006792
                     56,                 2.4494,                 1.5737,                 1.4017,                 0.5011,                 0.4464,                0.42241,                  0.181,                 2.4334,                  1.567,                 1.4433,             0.00066506,             0.00066506,             0.00066506
                     57,                 2.4781,                 1.6381,                  1.436,                0.46668,                0.43118,                0.40018,                0.16859,                 2.4224,                 1.5117,                 1.4513,             0.00065091,             0.00065091,             0.00065091
                     58,                 2.4206,                 1.5849,                 1.4084,                0.49665,                0.41996,                0.41927,                0.18562,                 2.3972,                 1.5397,                 1.4389,             0.00063676,             0.00063676,             0.00063676
                     59,                  2.394,                 1.5677,                 1.3863,                0.47586,                0.44609,                0.43001,                0.19955,                  2.271,                   1.47,                 1.3965,             0.00062262,             0.00062262,             0.00062262
                     60,                 2.4584,                 1.5769,                 1.4012,                0.47446,                0.43776,                0.42286,                0.18915,                 2.3467,                 1.5009,                 1.4288,             0.00060847,             0.00060847,             0.00060847
                     61,                 2.3687,                 1.5479,                 1.4066,                0.50405,                0.44037,                0.43189,                0.19445,                 2.2784,                 1.4018,                 1.4261,             0.00059432,             0.00059432,             0.00059432
                     62,                 2.4108,                 1.5967,                 1.4266,                0.49294,                 0.4586,                 0.4435,                0.19813,                 2.2946,                 1.4057,                 1.4286,             0.00058017,             0.00058017,             0.00058017
